"QNss"	"Confirmed"
"QOmax"	"Confirmed"
"QOmin"	"Confirmed"
"QOss"	"Confirmed"
"Qass"	"Confirmed"
"Qmax"	"Confirmed"
"Qmin"	"Confirmed"
"Rnc"	"Confirmed"
"Rpc"	"Confirmed"
"S1"	"Rejected"
"S10"	"Rejected"
"S11"	"Confirmed"
"S12"	"Confirmed"
"S13"	"Confirmed"
"S14"	"Rejected"
"S15"	"Rejected"
"S16"	"Confirmed"
"S17"	"Confirmed"
"S18"	"Confirmed"
"S19"	"Confirmed"
"S2"	"Rejected"
"S20"	"Rejected"
"S21"	"Confirmed"
"S22"	"Rejected"
"S23"	"Rejected"
"S24"	"Confirmed"
"S25"	"Rejected"
"S26"	"Confirmed"
"S27"	"Rejected"
"S28"	"Confirmed"
"S29"	"Confirmed"
"S3"	"Rejected"
"S30"	"Confirmed"
"S31"	"Confirmed"
"S32"	"Rejected"
"S33"	"Rejected"
"S34"	"Confirmed"
"S35"	"Confirmed"
"S36"	"Confirmed"
"S37"	"Confirmed"
"S38"	"Rejected"
"S39"	"Rejected"
"S4"	"Rejected"
"S40"	"Rejected"
"S41"	"Rejected"
"S42"	"Rejected"
"S43"	"Rejected"
"S44"	"Rejected"
"S45"	"Rejected"
"S46"	"Rejected"
"S47"	"Rejected"
"S48"	"Rejected"
"S49"	"Confirmed"
"S5"	"Rejected"
"S50"	"Confirmed"
"S51"	"Rejected"
"S52"	"Rejected"
"S53"	"Rejected"
"S54"	"Rejected"
"S55"	"Rejected"
"S56"	"Rejected"
"S57"	"Rejected"
"S58"	"Rejected"
"S59"	"Rejected"
"S6"	"Rejected"
"S60"	"Rejected"
"S61"	"Rejected"
"S62"	"Rejected"
"S63"	"Rejected"
"S64"	"Rejected"
"S65"	"Rejected"
"S66"	"Rejected"
"S67"	"Rejected"
"S68"	"Rejected"
"S69"	"Rejected"
"S7"	"Confirmed"
"S70"	"Rejected"
"S71"	"Rejected"
"S72"	"Rejected"
"S73"	"Rejected"
"S74"	"Rejected"
"S75"	"Rejected"
"S76"	"Rejected"
"S77"	"Rejected"
"S78"	"Rejected"
"S79"	"Rejected"
"S8"	"Confirmed"
"S9"	"Confirmed"
"SIC0"	"Confirmed"
"SIC1"	"Confirmed"
"SIC2"	"Confirmed"
"SIC3"	"Confirmed"
"SIC4"	"Confirmed"
"SIC5"	"Confirmed"
"SIC6"	"Confirmed"
"SPP"	"Confirmed"
"Save"	"Confirmed"
"Scar"	"Confirmed"
"Shal"	"Rejected"
"Shet"	"Confirmed"
"Shev"	"Confirmed"
"Smax"	"Confirmed"
"Smax0"	"Rejected"
"Smax1"	"Rejected"
"Smax10"	"Confirmed"
"Smax11"	"Confirmed"
"Smax12"	"Confirmed"
"Smax13"	"Rejected"
"Smax14"	"Rejected"
"Smax15"	"Confirmed"
"Smax16"	"Confirmed"
"Smax17"	"Confirmed"
"Smax18"	"Confirmed"
"Smax19"	"Rejected"
"Smax2"	"Rejected"
"Smax20"	"Confirmed"
"Smax21"	"Rejected"
"Smax22"	"Rejected"
"Smax23"	"Confirmed"
"Smax24"	"Rejected"
"Smax25"	"Confirmed"
"Smax26"	"Rejected"
"Smax27"	"Confirmed"
"Smax28"	"Confirmed"
"Smax29"	"Confirmed"
"Smax3"	"Rejected"
"Smax30"	"Confirmed"
"Smax31"	"Rejected"
"Smax32"	"Rejected"
"Smax33"	"Confirmed"
"Smax34"	"Confirmed"
"Smax35"	"Confirmed"
"Smax36"	"Confirmed"
"Smax37"	"Rejected"
"Smax38"	"Rejected"
"Smax39"	"Rejected"
"Smax4"	"Rejected"
"Smax40"	"Rejected"
"Smax41"	"Rejected"
"Smax42"	"Rejected"
"Smax43"	"Rejected"
"Smax44"	"Rejected"
"Smax45"	"Rejected"
"Smax46"	"Rejected"
"Smax47"	"Rejected"
"Smax48"	"Confirmed"
"Smax49"	"Confirmed"
"Smax5"	"Rejected"
"Smax50"	"Rejected"
"Smax51"	"Rejected"
"Smax52"	"Rejected"
"Smax53"	"Rejected"
"Smax54"	"Rejected"
"Smax55"	"Rejected"
"Smax56"	"Rejected"
"Smax57"	"Rejected"
"Smax58"	"Rejected"
"Smax59"	"Rejected"
"Smax6"	"Confirmed"
"Smax60"	"Rejected"
"Smax61"	"Rejected"
"Smax62"	"Rejected"
"Smax63"	"Rejected"
"Smax64"	"Rejected"
"Smax65"	"Rejected"
"Smax66"	"Rejected"
"Smax67"	"Rejected"
"Smax68"	"Rejected"
"Smax69"	"Rejected"
"Smax7"	"Confirmed"
"Smax70"	"Rejected"
"Smax71"	"Rejected"
"Smax72"	"Rejected"
"Smax73"	"Rejected"
"Smax74"	"Rejected"
"Smax75"	"Rejected"
"Smax76"	"Rejected"
"Smax77"	"Rejected"
"Smax78"	"Rejected"
"Smax8"	"Confirmed"
"Smax9"	"Rejected"
"Smin"	"Confirmed"
"Smin0"	"Rejected"
"Smin1"	"Rejected"
"Smin10"	"Confirmed"
"Smin11"	"Confirmed"
"Smin12"	"Confirmed"
"Smin13"	"Rejected"
"Smin14"	"Rejected"
"Smin15"	"Confirmed"
"Smin16"	"Confirmed"
"Smin17"	"Confirmed"
"Smin18"	"Confirmed"
"Smin19"	"Rejected"
"Smin2"	"Rejected"
"Smin20"	"Confirmed"
"Smin21"	"Rejected"
"Smin22"	"Rejected"
"Smin23"	"Confirmed"
"Smin24"	"Rejected"
"Smin25"	"Confirmed"
"Smin26"	"Rejected"
"Smin27"	"Confirmed"
"Smin28"	"Confirmed"
"Smin29"	"Confirmed"
"Smin3"	"Rejected"
"Smin30"	"Confirmed"
"Smin31"	"Rejected"
"Smin32"	"Rejected"
"Smin33"	"Confirmed"
"Smin34"	"Confirmed"
"Smin35"	"Confirmed"
"Smin36"	"Confirmed"
"Smin37"	"Rejected"
"Smin38"	"Rejected"
"Smin39"	"Rejected"
"Smin4"	"Rejected"
"Smin40"	"Rejected"
"Smin41"	"Rejected"
"Smin42"	"Rejected"
"Smin43"	"Rejected"
"Smin44"	"Rejected"
"Smin45"	"Rejected"
"Smin46"	"Rejected"
"Smin47"	"Rejected"
"Smin48"	"Confirmed"
"Smin49"	"Confirmed"
"Smin5"	"Rejected"
"Smin50"	"Rejected"
"Smin51"	"Rejected"
"Smin52"	"Rejected"
"Smin53"	"Rejected"
"Smin54"	"Rejected"
"Smin55"	"Rejected"
"Smin56"	"Rejected"
"Smin57"	"Rejected"
"Smin58"	"Rejected"
"Smin59"	"Rejected"
"Smin6"	"Confirmed"
"Smin60"	"Rejected"
"Smin61"	"Rejected"
"Smin62"	"Rejected"
"Smin63"	"Rejected"
"Smin64"	"Rejected"
"Smin65"	"Rejected"
"Smin66"	"Rejected"
"Smin67"	"Rejected"
"Smin68"	"Rejected"
"Smin69"	"Rejected"
"Smin7"	"Confirmed"
"Smin70"	"Rejected"
"Smin71"	"Rejected"
"Smin72"	"Rejected"
"Smin73"	"Rejected"
"Smin74"	"Rejected"
"Smin75"	"Rejected"
"Smin76"	"Rejected"
"Smin77"	"Rejected"
"Smin78"	"Rejected"
"Smin8"	"Confirmed"
"Smin9"	"Rejected"
"TPSA"	"Confirmed"
"TPSA1"	"Confirmed"
"Tac"	"Confirmed"
"Tnc"	"Confirmed"
"Tpc"	"Confirmed"
"UI"	"Confirmed"
"VSAEstate0"	"Rejected"
"VSAEstate1"	"Rejected"
"VSAEstate10"	"Rejected"
"VSAEstate2"	"Rejected"
"VSAEstate3"	"Rejected"
"VSAEstate4"	"Rejected"
"VSAEstate5"	"Rejected"
"VSAEstate6"	"Rejected"
"VSAEstate7"	"Confirmed"
"VSAEstate8"	"Confirmed"
"VSAEstate9"	"Confirmed"
"Weight"	"Confirmed"
"bcute1"	"Confirmed"
"bcute10"	"Confirmed"
"bcute11"	"Confirmed"
"bcute12"	"Confirmed"
"bcute13"	"Confirmed"
"bcute14"	"Confirmed"
"bcute15"	"Confirmed"
"bcute16"	"Confirmed"
"bcute2"	"Confirmed"
"bcute3"	"Confirmed"
"bcute4"	"Confirmed"
"bcute5"	"Confirmed"
"bcute6"	"Confirmed"
"bcute7"	"Confirmed"
"bcute8"	"Confirmed"
"bcute9"	"Confirmed"
"bcutm1"	"Confirmed"
"bcutm10"	"Confirmed"
"bcutm11"	"Confirmed"
"bcutm12"	"Confirmed"
"bcutm13"	"Confirmed"
"bcutm14"	"Confirmed"
"bcutm15"	"Confirmed"
"bcutm16"	"Confirmed"
"bcutm2"	"Confirmed"
"bcutm3"	"Confirmed"
"bcutm4"	"Confirmed"
"bcutm5"	"Confirmed"
"bcutm6"	"Confirmed"
"bcutm7"	"Confirmed"
"bcutm8"	"Confirmed"
"bcutm9"	"Confirmed"
"bcutp1"	"Confirmed"
"bcutp10"	"Confirmed"
"bcutp11"	"Confirmed"
"bcutp12"	"Confirmed"
"bcutp13"	"Confirmed"
"bcutp14"	"Confirmed"
"bcutp15"	"Confirmed"
"bcutp16"	"Confirmed"
"bcutp2"	"Confirmed"
"bcutp3"	"Confirmed"
"bcutp4"	"Confirmed"
"bcutp5"	"Confirmed"
"bcutp6"	"Confirmed"
"bcutp7"	"Confirmed"
"bcutp8"	"Confirmed"
"bcutp9"	"Confirmed"
"bcutv1"	"Confirmed"
"bcutv10"	"Confirmed"
"bcutv11"	"Confirmed"
"bcutv12"	"Confirmed"
"bcutv13"	"Confirmed"
"bcutv14"	"Confirmed"
"bcutv15"	"Confirmed"
"bcutv16"	"Confirmed"
"bcutv2"	"Confirmed"
"bcutv3"	"Confirmed"
"bcutv4"	"Confirmed"
"bcutv5"	"Confirmed"
"bcutv6"	"Confirmed"
"bcutv7"	"Confirmed"
"bcutv8"	"Confirmed"
"bcutv9"	"Confirmed"
"dchi0"	"Confirmed"
"dchi1"	"Confirmed"
"dchi2"	"Confirmed"
"dchi3"	"Confirmed"
"dchi4"	"Confirmed"
"kappa1"	"Confirmed"
"kappa2"	"Confirmed"
"kappa3"	"Confirmed"
"kappam1"	"Confirmed"
"kappam2"	"Confirmed"
"kappam3"	"Confirmed"
"knotp"	"Confirmed"
"knotpv"	"Confirmed"
"mChi1"	"Confirmed"
"naccr"	"Confirmed"
"naro"	"Confirmed"
"ncarb"	"Confirmed"
"ncobr"	"Rejected"
"ncocl"	"Rejected"
"ncof"	"Rejected"
"ncoi"	"Rejected"
"ndb"	"Confirmed"
"ndonr"	"Confirmed"
"nhal"	"Rejected"
"nhet"	"Confirmed"
"nhev"	"Confirmed"
"nhyd"	"Confirmed"
