foodb_id	smiles	applicability_domain	bitter_prob	sweet_prob
FOODB_FDB011578	COC1=C(OC)C=C2C(=C1)C(=O)C1=NC=CC3=C1C2=C(OC)C(OC)=C3OC	True	0.865	0.01500616672904549
FOODB_FDB006004	C\C1=C/CC(C)(C)\C=C\CC2(C)OC2CC1	True	0.39984641634497814	0.7285288824677094
FOODB_FDB019124	C\C(\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)CCCC1(C)C	True	0.6475	0.980920503907976
FOODB_FDB016217	C\C(COC(=O)CC1=CC=CC=C1)=C\CCC1(C)C2CC3C(C2)C13C	True	0.6966666666666667	0.7039798162108556
FOODB_FDB000475	Cl.NCCCC[C@H](N)C(O)=O	True	0.31438513758654135	0.2387404749738916
FOODB_FDB017109	COC1=CC(CCC(=O)OC2C(OC(=O)C34CCC(C)(C)CC3C3=CCC5C6(C)CCC(OC7OC(C(O)C(O)C7O)C(O)=O)C(C)(C)C6CCC5(C)C3(C)CC4O)OCC(O)C2OC2OC(CO)C(O)C(O)C2O)=CC=C1OC1OC(CO)C(O)C(O)C1O	True	0.32166666666666666	0.6003437854722716
FOODB_FDB010666	CC(C)OC1OC(CO)C(O)C(O)C1O	True	0.2914243427487934	0.7620931453700932
FOODB_FDB004613	[H][C@@]12CC=C3C4CC[C@H]([C@H](C)CC[C@H](CC)C(C)C)[C@@]4(C)CCC3[C@@]1(C)CC[C@H](O)[C@H]2C	True	0.7716666666666666	0.07921042836485938
FOODB_FDB014400	CC12OC(=O)C3OC13C(C)(C)C(=O)C1(O)CC3=CCCC4(C)C(OC(=O)C(=C34)C21O)C1=COC=C1	True	0.9183333333333333	0.002800328229264627
FOODB_FDB025805	[H][C@@](COC(=O)CCCCCCCCCCCC=CCC=CCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC=CCC=CCC=CCC=CCC=CCC	True	0.6133333333333333	1.224967339309407e-05
FOODB_FDB012071	CC1CCC2=C(C3=C(OC=C3C)C=C2C)C1=O	True	0.6792011184755592	0.4183401787950722
FOODB_FDB020955	C\C=C\SS(O)(=O)=O	True	0.3326827359511896	0.9996931076704538
FOODB_FDB011550	COC1=CC2=C(C(O)=C3C(=O)C=C(C)OC3=C2C2=C(O)C3=C(OC(C)=CC3=O)C3=C2C=C(OC)C=C3OC)C(OC)=C1	True	0.8416666666666667	4.536500651676262e-05
FOODB_FDB021493	OC1=CC=C(\C=C\C(=O)NCCC2=CNC3=C2C=CC=C3)C=C1	True	0.5960785773366418	0.00515384742461879
FOODB_FDB001743	COC1=CC(CCC2=CC=CC=C2)=C(C(O)=O)C(O)=C1CC=C(C)C	True	0.7022908998895839	0.1992775102481855
FOODB_FDB010896	CC(=O)CCC1=C(C)CCCC1(C)C	True	0.10610813085108046	0.8975459921507952
FOODB_FDB017121	OCC1OC(OC2=C(OC3OC(CO)C(O)C(O)C3O)C=C(C=C2)C2OC3=CC(O)=CC(O)=C3CC2O)C(O)C(O)C1O	True	0.5783333333333334	0.33137485556089247
FOODB_FDB013347	ClP(Cl)(Cl)=O	True	0.46700462962962963	8.028955431459193e-10
FOODB_FDB003154	CCCCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C\CCCCCCCC)COC(=O)CCCCCCC\C=C\CCCCCCCC	True	0.12171368861024033	0.0014959982464588949
FOODB_FDB014428	CC1=CCCC(C)(C)C1C=O	True	0.3083700188746861	0.2958439282690321
FOODB_FDB023284	[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	True	0.712280701754386	0.019917906371631613
FOODB_FDB015736	C\C1=C\CCC(=C)C2CC(C)(C)C2CC1	True	0.4090803571428571	0.27033054248513677
FOODB_FDB012059	NCC1=CC=CC=C1	True	0.5520129467535151	0.2535398496420718
FOODB_FDB025193	[H][C@@](COC(=O)CCCCCCCC=CCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCC	True	0.63	7.9135359328816e-06
FOODB_FDB015050	CNC(=O)C(C)(C(C)C)C(C)C	True	0.4737215871040712	0.10555062197961633
FOODB_FDB003632	NC1=NC(=O)C2=C(N1)N(C=N2)C1OC(CO)C(O)C1O	True	0.5897680937818552	0.003452194883625064
FOODB_FDB013421	COC1=CC2=C(C(=O)C3=C(C=C(C)C=C3O)C2=O)C(OC2OC(COC3OC(CO)C(O)C(OC4OC(COC5OC(CO)C(O)C(O)C5O)C(O)C(O)C4O)C3O)C(O)C(O)C2O)=C1	True	0.43166666666666664	0.25876482559664116
FOODB_FDB022824	CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](OC2O[C@@H]([C@@H](OC)[C@H](O)[C@H]2O)C(O)=O)[C@H]1NC(C)=O	True	0.6087460317460317	0.19990639172844538
FOODB_FDB010128	[K+].CCCCCCCCCCCCCC([O-])=O	True	0.5293016311766311	0.0400104822604855
FOODB_FDB027784	[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC	True	0.583380355276907	0.015783347577289126
FOODB_FDB008767	CCCCC1=C(O)C=CC(C)=C1	True	0.21592443652489687	0.9015748622049179
FOODB_FDB017647	CC12CC=CC3(OC1=O)C1CC(O)C4(O)CC1(CC4=C)C(C23)C(O)=O	True	0.825	0.20965765676626252
FOODB_FDB029971	COC1=CC=C(C=C1)C(C)C(=O)C1=C(O)C=C(O)C=C1	True	0.35869029937010943	0.19746590189087154
FOODB_FDB018574	CC1OC(OC2C(OC3CCC4(C)C(CCC5(C)C4CCC4C6C7(CC54CO7)OC(CC6(C)O)C=C(C)C)C3(C)C)OCC(O)C2OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O	True	0.215	0.9391714224253179
FOODB_FDB016559	CC(C)=CCC1=C(OC2=CC(O)=CC(O)=C2C1=O)C1=C(O)C=C(O)C=C1	True	0.8188888888888889	0.0023445138684009153
FOODB_FDB001025	COC1=CC(=CC(OC)=C1O)C12OC(C)(C(C1OC1OC(CO)C(O)C(O)C1O)C1=C(O)C=C(O)C=C1O2)C(C)=O	True	0.7836666666666666	0.052674745570368525
FOODB_FDB011236	CC1(CO)C2CC(OC3OC(CO)C(O)C(O)C3O)C(C)(C2)C1=O	True	0.6759027777777779	0.3886141048201174
FOODB_FDB008773	CCCCC1OC(=O)C2=C1C=CC=C2	True	0.15365108816386075	0.9109118882304574
FOODB_FDB027790	[H][C@](O)(CO)COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCC=CCCCCCCCC)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC	True	0.6183333333333333	0.058028019640450165
FOODB_FDB029965	COC1=C(OS(O)(=O)=O)C=CC(C=O)=C1	True	0.3891414433784114	0.8563686977573326
FOODB_FDB017653	[Na+].CC(O)=O.CC([O-])=O	True	0.3343072742358193	0.7275981832381955
FOODB_FDB018560	CC(C)C(=O)CC1=C(OCC(O)C(C)(C)O)C=CC2=C1OC(=O)C=C2	True	0.8083333333333333	0.03229553070364722
FOODB_FDB027948	NC(CC1=CC=CC=C1)C(=O)N1CC(O)CC1C(O)=O	True	0.4523060184297996	0.16880139459162277
FOODB_FDB001031	CC(C)C1=CC=C(C)C(C(C)C)=C1O	True	0.31132751852422563	0.8408555975874581
FOODB_FDB011222	COP(=S)(OC)OC1=CC=C(SC)C(C)=C1	True	0.48337600993851	0.0020390360697561615
FOODB_FDB025187	CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC	True	0.5983333333333334	4.324916551012323e-06
FOODB_FDB005257	C/C(/C=C/C(/C)=C\C(\O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)=C\C1=C(C)CC(CC1(C)C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)=C\C=C/C=C(\C)/C=C/C(/C)=C/C(/O[C@H]1O[C@@H](CO[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O)=C/C1=C(C)CC(CC1(C)C)O[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O	True	0.39	0.9803312873758077
FOODB_FDB002538	COC1=C2OC3=CC=CC=C3C2=C(OC)C(OC)=C1O	True	0.5918373355040022	0.007067207003804327
FOODB_FDB015044	CCCCCCCC1=CC=CO1	True	0.33034951099403304	0.7890575856671773
FOODB_FDB013435	CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OC(COC7OCC(O)C(O)C7OC7OCC(O)C(O)C7O)C(O)C(O)C6O)C(C)(C)C5CCC34C)C2C1)C(O)=O	True	0.135	0.8770924837159871
FOODB_FDB024299	[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCC=CCC=CCC=CCC	True	0.5050470219435736	0.010530843927663987
FOODB_FDB004149	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@@H](O)[C@@H](CO)O[C@H]2OC2=C(OC3=C(C(O)=CC(O)=C3)C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@H]1O	True	0.7066666666666667	0.008899477475497327
FOODB_FDB022830	OC(CC(=O)C(O)=O)C(O)=O	True	0.18078064144225192	0.9600981521425247
FOODB_FDB013353	[Na+].[O-]P=O	True	0.4335961538461538	0.0005599382928813897
FOODB_FDB025839	[H][C@@](COC(=O)CCCCCC=CCC=CCC=CCC=CCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC	True	0.6316666666666667	5.575182727835458e-05
FOODB_FDB003140	CCCCCCCCC=CCCCCCCCC(=O)OCC(COP(O)(O)=O)OC(=O)CCCCCCCC=CCCCCCCCC	True	0.5642136886102403	0.01659760074854245
FOODB_FDB023290	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCC(O)=O	True	0.6516666666666666	2.5760077989750053e-08
FOODB_FDB015722	COC(=O)C1CC(O)CC2C1C(=O)CC1C(=O)OC(CC21C)C1=COC=C1	True	0.885	0.054769564644061415
FOODB_FDB020941	CCCSS(O)(=O)=O	True	0.30363769758722126	0.9996560300856586
FOODB_FDB011544	CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O	True	0.4161773689770796	0.05438306006461055
FOODB_FDB021487	CC(C)OC1OC(COC2OCC(O)(CO)C2O)C(O)C(O)C1O	True	0.3152125382262997	0.5449219325328044
FOODB_FDB019118	COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C=C(O)C=C2O1	True	0.9550925925925927	0.022470706283241295
FOODB_FDB010882	OC1CC2=C(OC1C1=CC=C(O)C(O)=C1)C(=C(O)C=C2O)C1=C(C=C(O)C(O)=C1)C1OC2=C(CC1O)C(O)=CC(O)=C2	True	0.7066666666666667	0.11847671070475276
FOODB_FDB017135	CC1OC(OC(C)(C)C2CCC3(C)CCCC(C)=C3C2)C(O)C(O)C1O	True	0.7878333333333333	0.6928948962193732
FOODB_FDB020799	CC1(C)CCC2(CCC3(C)C(=CCC4C5(C)CCC(OC6OCC(O)C(OC7OC(CO)C(O)C(O)C7O)C6O)C(C)(CO)C5CCC34C)C2C1)C(=O)OC1OC(CO)C(O)C(O)C1O	True	0.051666666666666666	0.8889225558940339
FOODB_FDB000449	O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1	True	0.1905610153237043	0.011494891153977452
FOODB_FDB018206	CC(C)=CCC1=C(O)C=C(\C=C/C2=CC=C(O)C=C2)C=C1O	True	0.5635380446872609	0.25515612605661586
FOODB_FDB020772	COC1=C(O)C=CC(\C=C/C(=O)/C=C\C2=CC=C(O)C=C2)=C1	True	0.391847458980269	0.21972904084939343
FOODB_FDB001964	COC1=C2C(=O)OCC2=C(C)C2=C1CC1C(C)(CC(OC(C)=O)C3C1(C)CCC(=O)OC3(C)C)O2	True	0.9166666666666666	0.4203958390483708
FOODB_FDB030561	[H][C@@](O)(CO)[C@@]([H])(O)[C@@]([H])(O)CNC1=C(N)C(O)=NC(O)=N1	True	0.4207391069121447	0.8010083229790914
FOODB_FDB026303	[H][C@@](COC(=O)CCCCCCCC=CCC=CCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCCCCCCCCC=CCCCCCCCC	True	0.5483333333333333	0.00266350805649624
FOODB_FDB029030	[H][C@](N)(COP(O)(=O)OC[C@@]([H])(COC(=O)CCCCCCCC=CCC=CCC=CCC)OC(=O)CCCCCCCC=CCC=CCC=CCC)C(O)=O	True	0.6533333333333333	0.06289015392930182
FOODB_FDB010869	CC1=C(O)C2=CC=CC=C2C(N)=C1	True	0.570867813620951	0.31762343267971893
FOODB_FDB022165	[H][C@@]12CC[C@H]([C@H](C)CCCC(C)(C)O)[C@@]1(C)C(O)C[C@@]1([H])[C@@]2([H])C(O)CC2CC(O)CC[C@]12C	True	0.87	0.1540424927816663
