drugbank_id	smiles	DRUG_GROUPS	applicability_domain	bitter_prob	sweet_prob
DB02364	[H][C@](N)(COP(=O)(OCC)OCC)C(O)=O	experimental	True	0.35561199539058935	0.4553898072214462
DB02365	C1=CC2=CC=C3C=CC=NC3=C2N=C1	experimental	True	0.7086257631257631	0.00015935285399772527
DB02366	NC(=N)C1=CC2=C(NC(=N2)C2=CC=CC(C3=CC=CC=C3)=C2O)C=C1Cl	experimental	True	0.6883333333333334	1.4647719116329042e-05
DB02367	CCCCOC1=CC=C(C=C1)S(=O)(=O)N1C[C@H](C[C@@H]1C(=O)NO)NS(C)(=O)=O	experimental	True	0.7277777777777779	0.09043793284985312
DB02368	CC(=O)N[C@@H](CCCNC(N)=O)C(O)=O	experimental	True	0.23066980222891076	0.6658984417597626
DB02369	CN(CCO[P@]([O-])(=O)OP([O-])([O-])=O)CCC=C(C)C	experimental	True	0.6167491108789074	6.001359828839368e-07
DB02370	C[C@@H](NCCCC[C@H](N)C(O)=O)C(O)=O	experimental	True	0.23998813015429776	0.6388454743198021
DB02371	OCC(CO)(CO)NCCS(O)(=O)=O	experimental	True	0.42370138538682683	0.3910277694384772
DB02372	CC1=CN=C(C)N=C1N	experimental	True	0.5997988446870175	0.19388087269056184
DB02374	[H][C@@]1(O)CN2C=CN=C2[C@]([H])(O)[C@@]1([H])O	experimental	True	0.50084467478045	0.012877143519286479
DB02375	OC1=CC(O)=C2C(OC(=C(O)C2=O)C2=CC(O)=C(O)C(O)=C2)=C1	experimental	True	0.9726923076923077	0.007843188217523663
DB02376	[H][C@]1(O)C(NO)=N[C@]([H])(CO)[C@@]([H])(O)[C@]1([H])O	experimental	True	0.2657039868802344	0.9506949892503449
DB02377	NC1=NC(=O)C2=C(N1)N=CN2	experimental	True	0.6164628427128427	0.15723699692761842
DB02378	[H][C@@](C)(C[C@]([H])(O)[C@]([H])(CC(C)C)N=C(O)[C@]1([H])CC(O)=NCCCCCCOC(O)=N[C@@]([H])(C(C)C)C(O)=N1)C(O)=N[C@@]([H])(C(C)C)C(O)=NCC1=CC=CC=C1	experimental	True	0.6583333333333333	0.997930363170369
DB02379	OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	experimental	True	0.0005772259317300163	0.9871962965043547
DB02380	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O	experimental	True	0.6667447916666667	0.00022809034716518773
DB02381	N[C@@H](CCNC(=N)NO)C(O)=O	investigational	True	0.22504296797889675	0.4667280854452611
DB02382	[H][C@]1(COP(O)([O-])=O)O[C@@]([H])([N+]2=CC=CC(=C2)C(O)=O)[C@]([H])(O)[C@]1([H])O	experimental	True	0.5036915887850467	0.12349394566131475
DB02383	COC1=C(C2=CC=CC(C(=S)N(C)CC(O)=O)=C2C=C1)C(F)(F)F	withdrawn	True	0.6480555555555556	2.7383327433869383e-07
DB02384	[H]\C(=C(/F)C(O)=O)C1=CC=C([O-])C=C1	experimental	True	0.3770409420139914	0.12780594740872464
DB02385	NC1=NC2=NC=C(N=C2C(=O)N1)[C@@H](O)[C@H](O)CO	experimental	True	0.5822509771784903	0.01276666737161935
DB02386	CC(C)C[C@H](N)P(O)(O)=O	experimental	True	0.41145156061985894	0.9593669280410365
DB02388	CCCN1C(=NC(=C1C1=CC=NC(NC2CCCCC2)=N1)C1=CC=C(Cl)C(Cl)=C1)C1CCNCC1	experimental	True	0.8483333333333334	4.227778492212492e-05
DB02390	C[NH+](C)CCNC(=O)C1=CC=CC2=C(N)C3=C([NH+]=C12)C(Br)=CC=C3	experimental	True	0.7266666666666667	1.9989144334369622e-05
DB02391	NC1=NC2=C(N(CCNC(CO)CO)C=N2)C(=O)N1	experimental	True	0.635168776371308	9.364201986856463e-05
DB02393	[H][C@]1(O)[C@]([H])(O)[C@]([H])(CP(O)(O)=O)O[C@]1([H])COP(O)(O)=O	experimental	True	0.38640017733400084	0.020895231617835054
DB02394	[H][C@@]12C[C@]([H])(O)[C@@]([H])(O)[C@]([H])(O)[C@]1(CO)O2	experimental	True	0.28249531954455637	0.9085059109720117
DB02395	CN1C(CCCO)=C(CO)C2=C1C(=O)C=C(N1CC1)C2=O	experimental	True	0.7096674812996002	0.001518485982526713
DB02396	CCNC	experimental	True	0.595763888888889	0.257720468607459
DB02397	[H][C@](N)(CO[C@@]1([H])O[C@]([H])(CO)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])N=C(C)O)C(O)=O	experimental	True	0.299373503581271	0.8056873186853293
DB02398	NCC1=CC=C(NC(=O)C2=CC=C3C=C(C=CC3=C2)C(N)=N)C=C1	experimental	True	0.6503357753357754	0.0030459697731126485
DB02399	[H][C@@](C)(O)[C@]([H])(O)[C@@]([H])(O)[C@@]([H])(O)CO	experimental	True	0.049058451202017676	0.71314250751352
DB02400	COC1=CC(=O)C2=C(C(COC3=CC=C(C=C3)[N+]([O-])=O)=C(C)N2C)C1=O	experimental	True	0.6071433645858438	0.018773580253495802
DB02401	OC(=O)C1=NON=C1O	experimental	True	0.35756008777669324	0.9585332858762269
DB02402	COC1=CC=C(OC2=CC=CC3=NC(N)=NC(N)=C23)C=C1	experimental	True	0.6172318007662835	0.010652851700430193
DB02403	NC1=CC=CC=C1F	experimental	True	0.5453354795348972	0.13967124213222604
DB02404	OCCOCCOCCOCCOCCOCCOCCS	experimental	True	0.5791666666666667	3.190726903110546e-05
DB02405	OC(=O)CCCCCCCCCCCBr	experimental	True	0.3444815030287195	0.07812453622583307
DB02406	CCCCC(O)=O	experimental	True	0.06340778475515975	0.9781669074169644
DB02407	NC1=NC(OCC2CCCCC2)=C2N=CNC2=N1	experimental	True	0.6410194663351806	0.22642233345236573
DB02408	[H][C@](N)(CCCC)C(O)(O)CNC1CC1	experimental	True	0.4051877830035708	0.9157903242125404
DB02409	[H][C@@]12CC[C@@](C)(NC1)C2(C)C	experimental	True	0.6015943516295408	0.030170525536932672
DB02410	CC(=O)C1=[N+](CC2=CN=C(C)N=C2N)C(C)=C(CCOP(O)(=O)OP(O)(O)=O)S1	experimental	True	0.6933333333333334	0.0007701977714067693
DB02411	CC(C)CCN(C[C@@H](O)[C@@H]1CC2=CC=C(OCCCC(=O)N[C@@H](CC(N)=O)C(=O)N1)C=C2)S(=O)(=O)C1=CC=CC=C1	experimental	True	0.7916666666666666	0.10034545061900507
DB02412	C1CCOCC1	experimental	True	0.5409670400098439	0.45250694974623945
DB02413	N[C@@H](CSCCO)C(O)=O	experimental	True	0.17523142376505962	0.988688504930565
DB02414	[H][C@@]12CCCN1C(=O)[C@]([H])(CC1=CN=CN1)N=C2O	experimental	True	0.5641746625525178	0.0013347577795768738
DB02415	CCCCCCCC[S@@](=O)CCO	experimental	True	0.3302234585853268	0.4263648094232125
DB02416	[H][C@]1(I)NN(C2=NC=NC(N)=C12)[C@]1([H])O[C@]([H])(CO)[C@@]([H])(O)[C@@]1([H])O	experimental	True	0.511537037037037	0.03016224558592659
DB02417	OC1=C(Br)C=C(Br)C=C1Br	experimental	True	0.4866309927487513	8.621882336185021e-05
DB02418	C[C@@H](O)[C@H](C)O	experimental	True	0.3226348368227988	0.9186581685397248
DB02419	CCOC(=O)C(=O)N1CCCCC1	experimental	True	0.42109199453147206	0.12726097438867717
DB02420	NCC1=CC=C(NC(=O)C(O)=O)C=C1	experimental	True	0.3690470827363279	0.17724172121729712
DB02421	[H][C@]1(COP(O)(=O)OP(O)(=O)O[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]2([H])O)O[C@@]([H])(N2C=CC(O)=NC2=O)[C@]([H])(O)[C@]1([H])O	experimental	True	0.7038888888888889	7.944414460025762e-05
DB02422	[H][C@]1(CO)O[C@]([H])(OC)[C@@]([H])(S[C@@]2([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]2([H])O)[C@@]([H])(O)[C@]1([H])O	experimental	True	0.3102793273995961	0.9451583936502037
DB02423	OP(O)(=O)O[P@](O)([S-])=O	experimental	True	0.402625095625841	9.399560604658203e-05
DB02424	[H]/C1=C([H])/[C@]([H])(OC)[C@@]([H])(OC(O)=N)\C(C)=C([H])\[C@]([H])(C)[C@@]([H])(O)[C@]([H])(C[C@]([H])(C)CC2=C(OC)C(=O)C=C(N=C(O)\C(C)=C\1/[H])C2=O)OC	experimental; investigational	True	0.875	0.0016676422477967315
DB02425	CCCCCCCCCCCCCCCOC(=O)CCCCCCC	experimental	True	0.5256856286199162	0.3282458118932434
