flavordb_id	smiles	applicability_domain	bitter_prob	sweet_prob
24835320	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)OC)O)OC)O)O)O)O)O	True	0.645	0.20872211909819965
7264513	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)OP(=O)(O)O	True	0.39666666666666667	0.08890826344167997
19365684	COC1CC(C(OC1O)CO)O	True	0.1201098899788345	0.9717742147091282
16112225	CC(C)C(C(=O)NC(C(C)C)C(=O)NC(CC1=CC=CC=C1)C(=O)OC)N	True	0.545	0.7642797077938822
23616621	C1CCC(CC1)NS(=O)(=O)[O-].C1CCC(CC1)NS(=O)(=O)[O-].[Ca]	True	0.2846153846153846	0.24155967503451078
22524502	CC1C(CC(C(O1)OC2C(C(C(OC2OC3C(C(C(OC3OC4CC(C5CCC6(C(C5(C4)C)CC=C7C6(CCC8(C7CC(CC8O)(C)C)C)C)C)(C)CO)C(=O)O)O)O)CO)O)O)O)O	True	0.19333333333333333	0.9542081776191301
118334048	CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC)(C)C(=O)OC5C(C(C(C(O5)CO)O)O)O	True	0.8033333333333333	0.3555805409487307
87299714	CCCCN(C(C)O)C(C)O.C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O	True	0.7266666666666667	6.959863748612999e-10
68393076	CCC(C(C(OCCO)OC1CC(COC1CO)O)O)O	True	0.32157970244324663	0.4844378595031789
66985218	CC1C(C(C(O1)N2C=NC3=C2N=CN=C3N)O)O.OP(=O)(O)O	True	0.60625	0.01984411326613484
22132197	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OS(=O)(=O)O)CO)O)O)O)O	True	0.520343490607252	0.9375129051886824
101094443	COC1C(C(C(C(O1)CO)O)O)OC2C(C(C(CO2)O)O)O	True	0.20547340893799798	0.9152453106223926
18251152	CC(C(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)N	True	0.6566666666666666	0.744097084011823
22114636	COC1C(C(C(OC1O)CO)OC2C(C(C(C(O2)CO)O)O)O)O	True	0.14020192738351012	0.8528641244428475
91852545	C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O	True	0.1498304178732895	0.9760680790597323
40488850	C(C1C(C(C(C(O1)O)O)O)O)F	True	0.102940937844013	0.995756069295987
11157090	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)OCCN)O)O	True	0.6916666666666667	5.394276289370957e-10
101423618	C1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=CC3=O)C4=CC(=C(C=C4)O)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O	True	0.7716666666666666	0.013783244745119577
54441517	COC1C(C(C(C(O1)CO)O)OC2C(C(C(C(O2)CO)O)O)O)O	True	0.13516843386377805	0.8434752810341032
6300394	CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=C(OC4=CC(=CC(=C4C3=O)O)OC)C5=CC(=C(C=C5)O)O)CO)O)O)O)O)O	True	0.6216666666666667	0.013353428556035753
